compiler;version;standalone;optimized;avg;std;n;avg;std;n;avg;std;n
0;0;1;0;2083.95;39.92;19;2083.95;39.92;19;2083.95;39.92;19
0;0;1;1;726.12;19.81;16;740.17;23.21;18;742.20;22.95;15
0;1;1;0;3095.00;74.53;18;3095.00;74.53;18;3095.00;74.53;18
0;1;1;1;1101.83;36.31;18;1134.81;17.55;16;1112.33;16.25;18
0;2;0;0;-;-;-;-;-;-;-;-;-
0;2;0;1;-;-;-;-;-;-;-;-;-
0;3;0;0;-;-;-;-;-;-;-;-;-
0;3;0;1;-;-;-;-;-;-;-;-;-
3;0;1;0;-;-;-;-;-;-;-;-;-
3;0;1;1;-;-;-;-;-;-;-;-;-
3;1;1;0;151.47;14.00;17;151.47;14.00;17;151.47;14.00;17
3;1;1;1;74.14;10.99;14;72.12;15.13;16;73.00;12.08;13
3;2;0;0;184.26;23.07;19;184.26;23.07;19;184.26;23.07;19
3;2;0;1;90.11;16.90;19;82.37;18.05;19;76.21;9.56;19
3;3;0;0;-;-;-;-;-;-;-;-;-
3;3;0;1;-;-;-;-;-;-;-;-;-
